line,station,N,x,y,z
Victoria,Tottenham Hale,5.1,-0.060286846,51.58804429,-19.27
Victoria,Walthamstow Central,4.8,-0.01991439,51.5829547,-17.2
Victoria,Blackhorse Road,4.06,-0.040989824,51.5869504,-15.56
Northern,Waterloo,3.52,-0.114065872,51.50350116,-21.19
Northern,Mornington Crescent,3.27,-0.138836995,51.5342106,-15.29
Victoria,Seven Sisters,3.14,-0.072496009,51.58335354,-18.01
Northern,Embankment,3.06,-0.122355849,51.50724018,-16.32
Northern,Euston,3.06,-0.133284962,51.528592,-21.44
Victoria,Highbury & Islington,3,-0.103963215,51.54623264,-16.15
Northern,Goodge Street,2.98,-0.134656903,51.52042166,-28.92
Northern,Charing Cross,2.89,-0.124750098,51.5085914,-20.44
Northern,Kentish Town,2.86,-0.140459128,51.55030586,-22.62
Northern,Leicester Square,2.86,-0.128230649,51.51121886,-26.5
Northern,Tufnell Park,2.85,-0.137920369,51.55666822,-20.71
Northern,Warren Street,2.84,-0.138266815,51.52450765,-25.36
Northern,Camden Town,2.79,-0.142720378,51.53940685,-16.46
Bakerloo,Charing Cross,2.77,-0.124750098,51.5085914,-23.81
Victoria,Finsbury Park,2.77,-0.106511527,51.56440266,-8.55
Bakerloo,Oxford Circus,2.76,-0.141762698,51.51512096,-22.31
Bakerloo,Piccadilly Circus,2.63,-0.134000768,51.51002487,-25.2
Bakerloo,Embankment,2.58,-0.122355849,51.50724018,-19.87
Northern,Tottenham Court Road,2.58,-0.130865535,51.51620676,-30.73
Northern,Archway,2.51,-0.135109688,51.56542719,-21.27
Bakerloo,Waterloo,2.49,-0.114065872,51.50350116,-17.37
Bakerloo,Warwick Avenue,2.27,-0.183681886,51.5232683,-14.53
Victoria,Warren Street,2.27,-0.138266815,51.52450765,-30.92
Bakerloo,Marylebone,2.26,-0.163110434,51.52221957,-22.63
Bakerloo,Baker Street,2.19,-0.156907054,51.52305748,-20.3
Bakerloo,Edgware Road Bakerloo,2.18,-0.170140125,51.52018025,-24.87
Victoria,Euston,2.17,-0.133284962,51.528592,-32.47
Bakerloo,Maida Vale,2.08,-0.185629202,51.529764,-14.42
Victoria,King's Cross St. Pancras,2.07,-0.123854354,51.53039292,-17.09
Bakerloo,Paddington,2.05,-0.175394252,51.51530725,-15.73
Bakerloo,Regent's Park,1.99,-0.146856103,51.52350162,-24.82
Victoria,Oxford Circus,1.82,-0.141762698,51.51512096,-22.86
Northern,Highgate,1.54,-0.146633761,51.57759667,-37.33
Bakerloo,Lambeth North,1.51,-0.111756792,51.49905765,-16.53
Bakerloo,Kilburn Park,1.39,-0.193968503,51.53507232,-7.48
Central,Oxford Circus,1.39,-0.141762698,51.51512096,-26.4
Central,Bond Street,1.36,-0.149339546,51.51380196,-21
Piccadilly,Turnpike Lane,1.36,-0.102793193,51.59029484,-14.72
Northern,Kennington,1.34,-0.105481951,51.4881204,-17.22
Central,Marble Arch,1.33,-0.158444176,51.5135406,-25.6
Victoria,Stockwell,1.29,-0.122903451,51.47216897,-13.71
Hammersmith & City,Great Portland Street,1.28,-0.143949899,51.52371645,-7.6
Central,Tottenham Court Road,1.27,-0.130865535,51.51620676,-24.8
Northern,East Finchley,1.27,-0.164731951,51.58726915,4.4
Northern,Oval,1.26,-0.112889108,51.4821069,-15.72
Piccadilly,Gloucester Road,1.19,-0.182992032,51.49423894,-19.62
Central,Holborn,1.18,-0.12000517,51.51743603,-26.25
Northern,Clapham North,1.16,-0.129524132,51.46484691,-14.27
Central,Lancaster Gate,1.14,-0.175432757,51.51181877,-15.53
Central,Notting Hill Gate,1.13,-0.196539233,51.5090608,-28.12
Piccadilly,Piccadilly Circus,1.13,-0.134000768,51.51002487,-32.23
Piccadilly,Manor House,1.11,-0.095713399,51.57075645,-18.49
Central,Queensway,1.09,-0.187437115,51.51037726,-23.91
Piccadilly,South Kensington,1.09,-0.173925853,51.4939992,-20.75
Northern,Stockwell,1.08,-0.122903451,51.47216897,-13.69
Northern,London Bridge,1.08,-0.086922054,51.5054985,-23.6
Northern,Borough,1.05,-0.093701356,51.50119354,-17.48
Northern,Elephant & Castle,1.05,-0.100727264,51.4957771,-18.39
Piccadilly,Green Park,1.05,-0.142920666,51.50684821,-26.5
Piccadilly,Leicester Square,1.05,-0.128230649,51.51121886,-33.23
Piccadilly,Earl's Court,1.04,-0.193547042,51.49180317,-20.62
Piccadilly,Knightsbridge,1.04,-0.16051249,51.5015501,-22.28
Central,Chancery Lane,1.03,-0.111674737,51.51812053,-22.2
Piccadilly,Covent Garden,1.03,-0.124154917,51.51290729,-36.99
Jubilee,Southwark,1.02,-0.105089322,51.50384206,-24.49
Central,St. Paul's,1.01,-0.097572456,51.5147992,-24.41
Hammersmith & City,Stepney Green,1.01,-0.046463656,51.52190853,-7.18
Jubilee,London Bridge,1,-0.086922054,51.5054985,-27.2
Piccadilly,Finsbury Park,1,-0.106511527,51.56440266,-8.08
Piccadilly,Wood Green,1,-0.109626804,51.59747316,-11.41
Piccadilly,King's Cross St. Pancras,0.99,-0.123854354,51.53039292,-22.64
Hammersmith & City,Bow Road,0.98,-0.024817028,51.52679769,-5.2
Jubilee,Bermondsey,0.98,-0.063653376,51.49794951,-14.5
Jubilee,Green Park,0.98,-0.142920666,51.50684821,-31
Jubilee,Bond Street,0.98,-0.149339546,51.51380196,-31
Piccadilly,Holborn,0.98,-0.12000517,51.51743603,-37.91
Jubilee,Waterloo,0.97,-0.114065872,51.50350116,-30.02
Piccadilly,Caledonian Road,0.97,-0.118309745,51.54842399,-23.07
Piccadilly,Hyde Park Corner,0.97,-0.152755155,51.50275906,-27.09
Hammersmith & City,King's Cross St. Pancras,0.96,-0.123854354,51.53039292,-7.9
Northern,Clapham Common,0.96,-0.138317785,51.46173156,-20.2
Victoria,Vauxhall,0.96,-0.123743547,51.48573423,-17.72
Northern,King's Cross St. Pancras,0.95,-0.123854354,51.53039292,-28.09
Piccadilly,Arsenal,0.95,-0.105761259,51.55850047,-8.24
Jubilee,Canada Water,0.94,-0.049709617,51.49788931,-18.33
Jubilee,Westminster,0.94,-0.124813363,51.50108364,-26.71
Central,Liverpool Street,0.92,-0.082966301,51.51734907,-21.53
Central,Bethnal Green,0.91,-0.055435289,51.52719238,-15.97
Piccadilly,Holloway Road,0.9,-0.112923843,51.55275279,-13.6
Hammersmith & City,Whitechapel,0.89,-0.059988312,51.51945321,-2.89
Jubilee,Baker Street,0.87,-0.156907054,51.52305748,-21.15
Northern,Tooting Broadway,0.87,-0.167978628,51.42743352,-12.78
Northern,Bank,0.87,-0.088915548,51.51330059,-29.6
Piccadilly,Russell Square,0.85,-0.124306103,51.52290939,-33.18
Central,Bank,0.84,-0.088915548,51.51330059,-20.51
Northern,Angel,0.84,-0.105788491,51.53249459,-35.65
Northern,Balham,0.83,-0.153211771,51.44332551,-13.38
Northern,Colliers Wood,0.82,-0.177701298,51.41807093,-13.08
Northern,Tooting Bec,0.82,-0.1597037,51.43575693,-16.38
Northern,Moorgate,0.82,-0.089006251,51.51836488,-25.26
Central,Mile End,0.81,-0.033410797,51.52508961,-7.17
Hammersmith & City,Euston Square,0.8,-0.135830966,51.52555706,-6.9
Hammersmith & City,Baker Street,0.8,-0.156907054,51.52305748,-8.15
Northern,Clapham South,0.8,-0.147986936,51.45260436,-17.88
Northern,Old Street,0.77,-0.087550131,51.52559814,-25.01
Victoria,Pimlico,0.77,-0.133742256,51.48919405,-21.09
Central,Holland Park,0.76,-0.20572909,51.50733132,-18.79
Jubilee,Canary Wharf,0.74,-0.019424771,51.5035507,-18.65
Piccadilly,Bounds Green,0.71,-0.124218097,51.60708634,-16.18
Victoria,Green Park,0.71,-0.142920666,51.50684821,-23.08
Hammersmith & City,Farringdon,0.7,-0.105063422,51.52044189,-4.5
Hammersmith & City,Mile End,0.7,-0.033410797,51.52508961,-7.28
Bakerloo,Elephant & Castle,0.67,-0.100727264,51.4957771,-22.84
Hammersmith & City,Aldgate East,0.67,-0.072288856,51.51523167,-8.99
Northern,South Wimbledon,0.67,-0.191977694,51.41527952,-12.68
Victoria,Victoria,0.66,-0.143851962,51.49634171,-19.43
Jubilee,St. John's Wood,0.65,-0.174177173,51.53456813,-17.56
Bakerloo,Stonebridge Park,0.61,-0.275402774,51.5439232,7.5
Bakerloo,North Wembley,0.61,-0.304161122,51.56248881,-6
Hammersmith & City,Bromley-by-Bow,0.6,-0.011656653,51.52476782,-2.8
Hammersmith & City,Liverpool Street,0.6,-0.082966301,51.51734907,-6.6
Bakerloo,South Kenton,0.59,-0.308593866,51.57016922,3.4
Hammersmith & City,Edgware Road Circle,0.59,-0.167671457,51.5199169,-5.2
District,Cannon Street,0.56,-0.090694308,51.51143213,-6.6
District,Blackfriars,0.56,-0.103604701,51.51148871,-7.3
Northern,Morden,0.56,-0.194788449,51.40233755,-4.4
Central,Stratford,0.55,-0.003191699,51.54130536,3.2
Piccadilly,"Heathrow Terminals 1, 2, 3",0.55,-0.452438389,51.47121714,
Bakerloo,Wembley Central,0.54,-0.296865311,51.55232978,-6.5
Bakerloo,Queen's Park,0.53,-0.204705368,51.53410408,-5.6
District,Tower Hill,0.53,-0.076354751,51.51006474,-7.05
Bakerloo,Kensal Green,0.52,-0.224715786,51.53046095,-6.6
District,Stepney Green,0.52,-0.046463656,51.52190853,-7.18
District,Mansion House,0.51,-0.094186214,51.51201948,-9
Central,Shepherd's Bush,0.5,-0.226303429,51.50555802,-16.18
Jubilee,Swiss Cottage,0.5,-0.174764361,51.54331791,-16.89
District,Monument,0.49,-0.088942472,51.51334599,-8.1
Hammersmith & City,Barbican,0.49,-0.097710127,51.52014301,-8.6
District,Embankment,0.48,-0.122355849,51.50724018,-5.4
District,Temple,0.48,-0.113699874,51.51096808,-5.8
District,Westminster,0.48,-0.124813363,51.50108364,-7
District,St. James's Park,0.47,-0.134177691,51.49934457,-5.8
District,Aldgate East,0.46,-0.072288856,51.51523167,-8.99
Hammersmith & City,Moorgate,0.46,-0.089006251,51.51836488,-5.5
Jubilee,North Greenwich,0.46,0.003611943,51.50018279,-15.54
Bakerloo,Kenton,0.45,-0.317169083,51.58178456,-6.6
Circle,Westminster,0.45,-0.124813363,51.50108364,-7
District,Whitechapel,0.45,-0.059988312,51.51945321,-2.89
District,Mile End,0.45,-0.033410797,51.52508961,-7.28
Victoria,Brixton,0.44,-0.114630285,51.46258501,-19.21
Bakerloo,Willesden Junction,0.42,-0.244285475,51.53219425,-5.5
Bakerloo,Harlesden,0.41,-0.257498031,51.53619501,-6.2
District,Bow Road,0.41,-0.024817028,51.52679769,-5.2
Circle,Cannon Street,0.4,-0.090694308,51.51143213,-6.6
Central,Redbridge,0.39,0.045420104,51.5763036,-5.24
District,Victoria,0.39,-0.143851962,51.49634171,-7.6
Circle,St. James's Park,0.37,-0.134177691,51.49934457,-5.8
Central,Gants Hill,0.36,0.066110129,51.57648966,-16.47
